country_code,country,region,source_id,source_name,data_types,url,auth,status_upstream,status_bucket,blocked_reason,license,commercial_use,priority,has_bootstrap,sample_count,notes
AE,United Arab Emirates,Arab League / GCC,AE/ADGM,ADGM Courts Judgments (Abu Dhabi Global Market),case_law,https://www.adgm.com/adgm-courts/judgments,none,blocked,blocked,duplicate_of_AE/ADGM-Courts,,,1,False,0,Duplicate of AE/ADGM-Courts which already covers adgm.com with 143 judgments.
AE,United Arab Emirates,Arab League / GCC,AE/ADGM-Courts,ADGM Courts Judgments,case_law,https://www.adgm.com/adgm-courts/judgments,none,complete,working,,https://www.adgm.com/adgm-courts/judgments,True,1,True,11,143 judgments (2017-present). SSR HTML + PDF on assets.adgm.com. Full text via pdfplumber.
AE,United Arab Emirates,Arab League / GCC,AE/ADGM-Legislation,ADGM Legal Framework,legislation,https://www.adgm.com/legal-framework,none,complete,working,,https://www.adgm.com/legal-framework,True,1,True,11,~60 regulations/rules PDFs from ADGM courts legislation page + Abu Dhabi founding laws. Full text via PDF extraction.
AE,United Arab Emirates,Arab League / GCC,AE/CBUAE,Central Bank of the UAE Rulebook,doctrine,https://rulebook.centralbank.ae/en,none,complete,working,,CBUAE Rulebook Terms of Use,True,3,True,16,"Drupal 10 site at rulebook.centralbank.ae. 192 regulation pages with full text (avg 97K chars). Banking, insurance, AML/CFT, consumer protection. English. 15 sample records."
AE,United Arab Emirates,Arab League / GCC,AE/DFSA-Enforcement,DFSA Regulatory Actions & Decision Notices,doctrine,https://www.dfsa.ae/what-we-do/enforcement/regulatory-actions,none,blocked,blocked,cloudflare_protection,,,1,False,0,8 enforcement cases in 2024. Fines exceeding $2.5M. Active enforcement.
AE,United Arab Emirates,Arab League / GCC,AE/DIFC,DIFC Courts Judgments and Orders,case_law,https://www.difccourts.ae/rules-decisions/judgments-orders,none,complete,working,,DIFC Courts Disclaimer,True,1,True,11,"~5,000 judgments (2007-present). Full text in HTML. CFI, Court of Appeal, SCT, Arbitration, T&C, DEC, Enforcement."
AE,United Arab Emirates,Arab League / GCC,AE/DIFC-Courts,DIFC Courts Judgments & Orders,case_law,https://www.difccourts.ae/rules-decisions/judgments-orders,none,blocked,blocked,azure_waf_protection,,,1,False,0,English-language common law court. CFI + Court of Appeal + Arbitration. Searchable. Also on BAILII.
AE,United Arab Emirates,Arab League / GCC,AE/DIFC-Legislation,DIFC Legal Database,legislation,https://www.difc.com/business/laws-and-regulations/legal-database,none,complete,working,,https://www.difc.com/business/laws-and-regulations/legal-database,True,1,True,11,"139 PDFs (29 laws, 29 regulations, 17 amendments). Full text via PDF extraction."
AE,United Arab Emirates,Arab League / GCC,AE/FSRA-Enforcement,ADGM FSRA Regulatory Actions,doctrine,https://www.adgm.com/operating-in-adgm/additional-obligations-of-financial-services-entities/enforcement/regulatory-actions,none,complete,working,,https://www.adgm.com/operating-in-adgm/additional-obligations-of-financial-services-entities/enforcement/regulatory-actions,True,1,True,11,"69 enforcement decisions (Final Notices, Penalty Notices, Enforceable Undertakings). Full text via PDF extraction."
AE,United Arab Emirates,Arab League / GCC,AE/FTA-PublicClarifications,UAE Federal Tax Authority Guides and Public Clarifications,doctrine,https://tax.gov.ae/en/taxes/vat/guides.references.aspx,none,complete,working,,https://tax.gov.ae/en/taxes/vat/guides.references.aspx,True,2,True,16,188 VAT + corporate tax + excise tax guides and public clarifications. Full text via PDF extraction.
AE,United Arab Emirates,Arab League / GCC,AE/FederalLegislation,UAE Federal Legislation Portal,legislation,https://elaws.moj.gov.ae/,none,blocked,blocked,geo_blocked_and_cloudflare,,,3,False,0,elaws.moj.gov.ae geo-blocked (TCP timeout from non-UAE IPs). uaelegislation.gov.ae behind Cloudflare WAF (403). No public API. data.bayanat.ae also unreachable.
AE,United Arab Emirates,Arab League / GCC,AE/Legislation,UAE Federal Legislation Portal,legislation,https://uaelegislation.gov.ae,cloudflare,blocked,blocked,cloudflare_protection,,,2,False,0,From issue #155. UAE official federal laws portal. Blocked by Cloudflare WAF. No accessible API found.
AE,United Arab Emirates,Arab League / GCC,AE/SCA,UAE Securities and Commodities Authority (SCA),doctrine,https://www.sca.gov.ae/,none,blocked,blocked,api_requires_auth,,,3,False,0,sca.gov.ae API at /api/PublicApi/GetContentList requires CSRF auth. Cannot access programmatically.
AE,United Arab Emirates,Arab League / GCC,AE/TDRC-TaxAppeals,UAE Tax Disputes Resolution Committee Decisions,case_law,https://www.tax.gov.ae,none,blocked,blocked,no_public_access,,,1,False,0,"TDRC decisions are not publicly published. Protected by Article 7 of Tax Procedures Law (confidentiality). Communicated only to parties (taxpayer + FTA). No portal, API, or database. Only known indirectly through law firm summaries and Federal Court appeals."
AE,United Arab Emirates,Arab League / GCC,AE/eLaws,UAE Ministry of Justice Legal Portal,"legislation,case_law",https://elaws.moj.gov.ae/,none,blocked,blocked,geo_ip_block,,,1,True,15,Issue #343: site unreachable (connection timeout from both local and VPS).
BH,Bahrain,Arab League / GCC,BH/CBB,Central Bank of Bahrain Rulebook and Circulars,doctrine,https://www.cbb.gov.bh/,none,blocked,blocked,third_party_paywall,,,3,False,0,CBB Rulebook hosted on Thomson Reuters (cbben.thomsonreuters.com) - returns 403. Not open data. Laws page is JavaScript-rendered.
BH,Bahrain,Arab League / GCC,BH/ConstitutionalCourt,Bahrain Constitutional Court,case_law,https://www.ccb.bh/,none,blocked,blocked,waf_blocks_requests,,,2,False,0,Returns 403 Forbidden
BH,Bahrain,Arab League / GCC,BH/Courts,Bahrain Court Decisions (sjc.bh),case_law,https://www.sjc.bh/,none,blocked,blocked,no_api_geo_restricted,,,2,False,0,ahkam.sjc.bh times out (geo-restricted or JS-only). No public API. data.gov.bh has zero legal datasets. Eastlaws has content but is subscription-only.
BH,Bahrain,Arab League / GCC,BH/LLOCLegislation,Bahrain LLOC Legislation,legislation,https://www.lloc.gov.bh,none,blocked,blocked,dns_unreachable,,,2,True,15,Issue #405: DNS unreachable (lloc.gov.bh not resolvable from VPS or local). Domain may be down or geo-restricted.
BH,Bahrain,Arab League / GCC,BH/Legislation,Bahrain Legislation & Legal Opinion Commission,legislation,https://www.legalaffairs.gov.bh/,none,blocked,blocked,duplicate,,,3,False,0,Duplicate of BH/LLOCLegislation (same site: lloc.gov.bh = legalaffairs.gov.bh)
BH,Bahrain,Arab League / GCC,BH/NBR-TaxGuidance,Bahrain National Bureau for Revenue VAT Guidance,doctrine,https://www.nbr.gov.bh/tax_guide,none,complete,working,,"Government of Bahrain, National Bureau for Revenue. Tax guidance published for public access. No formal open licence specified.",True,1,True,15,15 VAT/excise/DMTT guidance PDFs with full text. S3-hosted PDFs extracted via pdf_extract.
DJ,Djibouti,Arab League / Horn,DJ/JournalOfficiel,Djibouti Journal Officiel,legislation,https://www.journalofficiel.dj/,none,complete,working,,https://www.journalofficiel.dj/,True,3,True,16,
DZ,Algeria,Arab League / Maghreb,DZ/ConseilConstitutionnel,Algeria Constitutional Court (Cour constitutionnelle),case_law,https://cour-constitutionnelle.dz/,none,complete,working,,Official Algerian court decisions — public domain (government decisions). Published by the Cour constitutionnelle. Constitutional court decisions are public judicial acts under Algerian law.,True,2,True,31,"WordPress REST API. ~1200 posts, decisions split from year-grouped pages. Full text."
DZ,Algeria,Arab League / Maghreb,DZ/CourSupreme,Algeria Supreme Court (Cour suprême) Decisions,case_law,https://coursupreme.dz/,none,complete,working,,Official Algerian court decisions — public domain (government decisions). Published by the Cour supreme via WordPress. Court decisions are public judicial acts under Algerian law.,True,2,True,16,"WordPress REST API custom post type /decision. 1,261 decisions in Arabic. Full text."
